1,1,931.00,387.00,138.00,189.00,0.879395
1,2,417.50,394.50,186.50,210.00,0.856934
1,3,725.00,370.00,168.00,228.00,0.824219
1,4,556.00,414.00,156.00,218.00,0.815430
1,5,216.75,375.50,134.50,200.00,0.773926
1,6,349.00,361.00,148.00,185.50,0.746094
1,7,574.00,655.50,98.00,63.00,0.244385
1,8,368.50,648.50,82.00,70.00,0.201782
1,9,779.00,651.00,84.00,68.00,0.200562
1,10,0.00,616.00,106.38,104.00,0.196167
1,11,467.50,658.00,70.00,60.00,0.140869
1,12,0.00,615.50,56.56,104.00,0.102295
1,13,670.00,659.00,65.00,58.00,0.101257
2,14,417.50,393.75,187.00,204.25,0.853516
2,15,933.00,386.00,137.00,191.00,0.808105
2,16,232.62,376.00,115.88,198.00,0.775391
2,17,571.50,411.00,142.00,219.00,0.774414
2,18,728.00,413.00,165.00,185.00,0.660156
2,19,355.00,360.00,133.00,185.00,0.587891
2,20,769.50,367.50,90.00,109.00,0.228882
2,21,368.00,648.50,83.50,70.00,0.174438
2,22,0.25,616.50,72.25,103.00,0.173340
2,23,573.00,655.50,98.00,63.00,0.173340
2,24,779.00,650.50,84.00,69.00,0.147095
2,25,0.00,619.00,133.75,100.00,0.121277
2,26,470.50,658.00,67.00,60.00,0.100159
3,27,420.00,394.00,188.00,205.00,0.826172
3,28,939.00,389.00,136.00,185.00,0.691895
3,29,737.00,391.50,156.00,205.00,0.690918
3,30,365.50,362.00,141.50,172.00,0.619629
3,31,251.50,378.50,104.00,186.00,0.568848
3,32,585.00,414.00,136.00,213.00,0.496094
3,33,244.88,445.00,107.12,123.00,0.223389
3,34,611.50,414.00,109.00,103.00,0.191284
3,35,367.00,648.50,83.00,70.00,0.186523
3,36,573.50,656.00,99.00,62.00,0.151489
3,37,779.00,650.50,84.00,69.00,0.140869
3,38,467.00,658.00,71.00,60.00,0.122131
3,39,259.50,378.00,96.50,118.50,0.112610
3,40,0.31,616.50,65.94,103.00,0.102295
4,41,603.00,416.00,130.00,209.00,0.792969
4,42,430.50,389.75,179.00,208.25,0.786133
4,43,751.50,394.50,144.00,202.00,0.772461
4,44,258.75,378.50,103.00,193.00,0.768555
4,45,953.00,388.00,117.00,185.00,0.578613
4,46,384.00,358.00,121.00,166.50,0.442627
4,47,779.00,650.00,84.00,70.00,0.184814
4,48,798.00,364.75,60.00,77.00,0.164551
4,49,573.50,656.00,97.00,62.00,0.140869
4,50,368.00,648.00,81.50,70.00,0.104126
5,51,270.50,378.00,93.00,195.00,0.823242
5,52,447.75,388.75,164.25,206.25,0.603027
5,53,970.00,390.00,104.00,181.00,0.541992
5,54,617.00,416.75,114.00,206.25,0.354980
5,55,399.00,375.50,94.00,165.50,0.326904
5,56,616.50,488.00,86.00,136.00,0.241455
5,57,432.00,358.00,49.00,92.00,0.239380
5,58,770.00,366.50,133.00,228.50,0.221313
5,59,623.00,417.00,108.00,94.00,0.181274
5,60,432.00,360.00,75.00,105.00,0.159790
5,61,465.25,362.00,43.00,105.00,0.150513
5,62,0.38,619.00,133.75,100.00,0.141479
5,63,367.75,648.00,82.00,70.00,0.128906
5,64,779.00,650.00,85.00,70.00,0.123352
5,65,573.50,656.00,103.00,62.00,0.121277
5,66,0.06,616.50,55.59,103.00,0.117981
6,67,273.50,375.50,86.00,199.50,0.829590
6,68,988.00,389.00,90.00,182.00,0.815918
6,69,795.00,366.00,120.00,233.00,0.772461
6,70,410.00,356.50,90.00,180.00,0.734863
6,71,463.50,387.00,144.00,206.00,0.660156
6,72,620.00,413.00,95.00,214.00,0.598145
6,73,0.62,619.00,133.50,100.00,0.265137
6,74,619.00,489.50,88.00,139.00,0.248657
6,75,573.50,656.00,99.00,62.00,0.187134
6,76,779.00,649.50,84.00,70.00,0.183594
6,77,366.25,648.00,84.50,70.00,0.162354
6,78,968.00,653.00,86.00,66.00,0.142212
6,79,626.00,413.50,89.00,109.00,0.134277
6,80,0.22,615.50,59.16,104.00,0.132080
6,81,1074.00,658.00,84.00,60.00,0.131592
6,82,477.00,388.00,130.00,129.00,0.123352
6,83,279.00,641.00,68.00,78.00,0.110107
6,84,464.00,658.00,74.00,60.00,0.103394
7,85,277.50,372.00,74.00,205.50,0.801758
7,86,992.00,388.50,92.00,189.50,0.769531
7,87,802.50,364.50,120.00,229.50,0.746094
7,88,626.00,412.00,89.00,216.00,0.724121
7,89,419.00,352.00,87.00,194.00,0.672363
7,90,480.00,388.75,91.00,204.25,0.432129
7,91,480.50,479.00,84.00,116.00,0.259033
7,92,573.00,656.00,100.00,62.00,0.254639
7,93,779.00,649.50,85.00,70.00,0.236572
7,94,367.00,647.50,83.00,71.00,0.185913
7,95,0.38,619.00,132.50,100.00,0.185913
7,96,492.00,388.50,83.00,99.00,0.167236
7,97,278.50,641.00,69.00,78.00,0.155640
7,98,968.00,652.00,86.00,67.00,0.137573
7,99,0.06,613.00,45.50,106.00,0.129883
7,100,466.50,658.00,72.00,60.00,0.125488
7,101,0.25,614.50,78.81,105.00,0.123352
7,102,1074.00,657.50,84.00,61.00,0.120850
7,103,672.00,658.50,72.00,60.00,0.108215
8,104,276.50,364.50,76.50,210.00,0.840820
8,105,425.50,350.00,75.50,195.50,0.820312
8,106,627.00,404.75,92.00,222.25,0.808594
8,107,498.00,381.50,73.00,211.00,0.773438
8,108,808.00,369.50,90.00,224.50,0.734863
8,109,1001.00,381.00,86.00,194.00,0.728027
8,110,779.00,648.00,86.00,72.00,0.351318
8,111,364.50,646.50,87.00,72.00,0.265137
8,112,573.00,655.00,100.00,64.00,0.246582
8,113,968.00,652.00,86.00,67.00,0.206909
8,114,1070.00,657.50,90.00,61.00,0.176147
8,115,463.50,656.00,76.50,63.00,0.173828
8,116,0.06,612.50,44.75,107.00,0.157104
8,117,671.00,658.00,78.00,60.00,0.132935
8,118,1166.00,659.50,60.00,59.00,0.131226
8,119,277.50,639.50,72.00,80.00,0.120667
8,120,41.88,617.00,98.38,102.00,0.119995
8,121,876.00,655.00,90.00,64.00,0.105957
8,122,808.50,361.00,42.00,103.00,0.104126
9,123,282.50,362.50,73.00,212.50,0.807617
9,124,632.50,401.50,83.00,223.00,0.802734
9,125,1003.50,378.50,80.50,191.50,0.794922
9,126,499.50,379.50,91.00,217.00,0.748535
9,127,434.00,348.50,71.00,197.00,0.728027
9,128,815.00,400.00,80.00,192.00,0.676758
9,129,779.50,648.00,87.00,72.00,0.330322
9,130,366.50,646.50,85.00,72.00,0.269775
9,131,573.00,654.50,98.00,64.00,0.269775
9,132,968.00,651.00,86.00,68.00,0.204346
9,133,278.00,639.00,69.00,80.00,0.203125
9,134,0.06,612.00,44.69,108.00,0.162964
9,135,464.50,656.00,75.00,63.00,0.161377
9,136,1071.00,657.50,88.00,61.00,0.152588
9,137,810.50,361.25,36.00,101.50,0.150024
9,138,1164.00,659.00,64.00,60.00,0.146118
9,139,811.50,360.00,75.00,103.00,0.139648
9,140,669.00,658.00,80.00,61.00,0.135254
9,141,875.00,655.00,90.00,64.00,0.123352
9,142,1230.00,623.00,50.00,96.00,0.102295
10,143,1009.00,374.00,108.00,192.00,0.828613
10,144,640.00,394.50,82.00,228.00,0.827637
10,145,283.00,360.50,86.00,210.00,0.800293
10,146,503.00,375.50,93.00,215.50,0.715332
10,147,439.00,348.00,71.00,195.50,0.702637
10,148,822.00,392.75,90.00,200.25,0.645996
10,149,364.75,646.00,86.50,72.00,0.248657
10,150,779.00,648.00,88.00,72.00,0.231567
10,151,966.00,651.00,89.00,68.00,0.201782
10,152,1070.00,657.00,90.00,62.00,0.201172
10,153,278.00,639.50,70.00,80.00,0.189575
10,154,571.50,653.00,105.00,66.00,0.184204
